domain,dimension,date,indicator,value
social,income and work,2013,youthNEET,22.03
social,income and work,2014,youthNEET,22.03
social,income and work,2015,youthNEET,22.19
social,income and work,2016,youthNEET,22.35
social,income and work,2017,youthNEET,22.54
social,income and work,2018,youthNEET,22.73
social,income and work,2019,youthNEET,22.87
social,income and work,2020,youthNEET,24.91
social,income and work,2021,youthNEET,23.75
social,income and work,2000,societalPoverty,84
social,income and work,2001,societalPoverty,84
social,income and work,2002,societalPoverty,84
social,income and work,2003,societalPoverty,84
social,income and work,2004,societalPoverty,83
social,income and work,2005,societalPoverty,83
social,income and work,2006,societalPoverty,82
social,income and work,2007,societalPoverty,81
social,income and work,2008,societalPoverty,80
social,income and work,2009,societalPoverty,80
social,income and work,2010,societalPoverty,79
social,income and work,2011,societalPoverty,79
social,income and work,2012,societalPoverty,78
social,income and work,2013,societalPoverty,77
social,income and work,2014,societalPoverty,76
social,income and work,2015,societalPoverty,76
social,income and work,2016,societalPoverty,75
social,income and work,2017,societalPoverty,74
social,income and work,2018,societalPoverty,73
social,income and work,2019,societalPoverty,73
social,income and work,2020,societalPoverty,73
social,income and work,2021,societalPoverty,74
social,water,2000,drinkingH2O,38
social,water,2001,drinkingH2O,38
social,water,2002,drinkingH2O,37
social,water,2003,drinkingH2O,37
social,water,2004,drinkingH2O,37
social,water,2005,drinkingH2O,37
social,water,2006,drinkingH2O,36
social,water,2007,drinkingH2O,36
social,water,2008,drinkingH2O,36
social,water,2009,drinkingH2O,35
social,water,2010,drinkingH2O,34
social,water,2011,drinkingH2O,33
social,water,2012,drinkingH2O,33
social,water,2013,drinkingH2O,32
social,water,2014,drinkingH2O,31
social,water,2015,drinkingH2O,30
social,water,2016,drinkingH2O,29
social,water,2017,drinkingH2O,28
social,water,2018,drinkingH2O,27
social,water,2019,drinkingH2O,26
social,water,2020,drinkingH2O,26
social,water,2021,drinkingH2O,NA
social,water,2000,sanitation,71
social,water,2001,sanitation,71
social,water,2002,sanitation,70
social,water,2003,sanitation,69
social,water,2004,sanitation,68
social,water,2005,sanitation,67
social,water,2006,sanitation,65
social,water,2007,sanitation,64
social,water,2008,sanitation,63
social,water,2009,sanitation,61
social,water,2010,sanitation,60
social,water,2011,sanitation,59
social,water,2012,sanitation,57
social,water,2013,sanitation,56
social,water,2014,sanitation,54
social,water,2015,sanitation,53
social,water,2016,sanitation,51
social,water,2017,sanitation,50
social,water,2018,sanitation,48
social,water,2019,sanitation,47
social,water,2020,sanitation,46
social,water,2021,sanitation,NA
social,energy,2000,energyAccess,21.599999999999994
social,energy,2001,energyAccess,21.200000000000003
social,energy,2002,energyAccess,20.799999999999997
social,energy,2003,energyAccess,19.900000000000006
social,energy,2004,energyAccess,19.900000000000006
social,energy,2005,energyAccess,19.200000000000003
social,energy,2006,energyAccess,18.5
social,energy,2007,energyAccess,17.900000000000006
social,energy,2008,energyAccess,17.200000000000003
social,energy,2009,energyAccess,17
social,energy,2010,energyAccess,16.400000000000006
social,energy,2011,energyAccess,15.400000000000006
social,energy,2012,energyAccess,14.900000000000006
social,energy,2013,energyAccess,14.200000000000003
social,energy,2014,energyAccess,13.700000000000003
social,energy,2015,energyAccess,13
social,energy,2016,energyAccess,11.799999999999997
social,energy,2017,energyAccess,11
social,energy,2018,energyAccess,10.099999999999994
social,energy,2019,energyAccess,9.799999999999997
social,energy,2020,energyAccess,9.5
social,energy,2021,energyAccess,8.599999999999994
social,energy,2000,energyIndoor,51
social,energy,2001,energyIndoor,50
social,energy,2002,energyIndoor,50
social,energy,2003,energyIndoor,49
social,energy,2004,energyIndoor,48
social,energy,2005,energyIndoor,47
social,energy,2006,energyIndoor,47
social,energy,2007,energyIndoor,46
social,energy,2008,energyIndoor,45
social,energy,2009,energyIndoor,44
social,energy,2010,energyIndoor,43
social,energy,2011,energyIndoor,41
social,energy,2012,energyIndoor,40
social,energy,2013,energyIndoor,39
social,energy,2014,energyIndoor,38
social,energy,2015,energyIndoor,36
social,energy,2016,energyIndoor,35
social,energy,2017,energyIndoor,34
social,energy,2018,energyIndoor,33
social,energy,2019,energyIndoor,31
social,energy,2020,energyIndoor,30
social,energy,2021,energyIndoor,29
social,connectivity,2000,internet,94.65
social,connectivity,2001,internet,93.19
social,connectivity,2002,internet,90.85
social,connectivity,2003,internet,89.18
social,connectivity,2004,internet,87.36
social,connectivity,2005,internet,84.4
social,connectivity,2006,internet,82.7
social,connectivity,2007,internet,79.7
social,connectivity,2008,internet,77.2
social,connectivity,2009,internet,74.6
social,connectivity,2010,internet,71.5
social,connectivity,2011,internet,69
social,connectivity,2012,internet,66.5
social,connectivity,2013,internet,64.6
social,connectivity,2014,internet,62.5
social,connectivity,2015,internet,60
social,connectivity,2016,internet,57
social,connectivity,2017,internet,54.4
social,connectivity,2018,internet,51
social,connectivity,2019,internet,46.3
social,connectivity,2020,internet,40.4
social,connectivity,2021,internet,37.4
social,connectivity,2000,publicTrans,NA
social,connectivity,2001,publicTrans,NA
social,connectivity,2002,publicTrans,NA
social,connectivity,2003,publicTrans,NA
social,connectivity,2004,publicTrans,NA
social,connectivity,2005,publicTrans,NA
social,connectivity,2006,publicTrans,NA
social,connectivity,2007,publicTrans,NA
social,connectivity,2008,publicTrans,NA
social,connectivity,2009,publicTrans,NA
social,connectivity,2010,publicTrans,NA
social,connectivity,2011,publicTrans,NA
social,connectivity,2012,publicTrans,NA
social,connectivity,2013,publicTrans,NA
social,connectivity,2014,publicTrans,NA
social,connectivity,2015,publicTrans,NA
social,connectivity,2016,publicTrans,NA
social,connectivity,2017,publicTrans,NA
social,connectivity,2018,publicTrans,NA
social,connectivity,2019,publicTrans,NA
social,connectivity,2020,publicTrans,48.4
social,connectivity,2021,publicTrans,NA
social,housing,2000,urbanSlums,31.2
social,housing,2001,urbanSlums,31.049999999999997
social,housing,2002,urbanSlums,30.9
social,housing,2003,urbanSlums,30.5
social,housing,2004,urbanSlums,30.1
social,housing,2005,urbanSlums,29.65
social,housing,2006,urbanSlums,29.2
social,housing,2007,urbanSlums,28.7
social,housing,2008,urbanSlums,28.2
social,housing,2009,urbanSlums,27.75
social,housing,2010,urbanSlums,27.3
social,housing,2011,urbanSlums,26.8
social,housing,2012,urbanSlums,26.3
social,housing,2013,urbanSlums,25.85
social,housing,2014,urbanSlums,25.4
social,housing,2015,urbanSlums,25
social,housing,2016,urbanSlums,24.6
social,housing,2017,urbanSlums,24.5
social,housing,2018,urbanSlums,24.4
social,housing,2019,urbanSlums,24.299999999999997
social,housing,2020,urbanSlums,24.2
social,housing,2021,urbanSlums,NA
social,equality,2000,genderGapIndex,NA
social,equality,2001,genderGapIndex,NA
social,equality,2002,genderGapIndex,NA
social,equality,2003,genderGapIndex,NA
social,equality,2004,genderGapIndex,NA
social,equality,2005,genderGapIndex,35.5
social,equality,2006,genderGapIndex,35.2
social,equality,2007,genderGapIndex,34.099999999999994
social,equality,2008,genderGapIndex,33.8
social,equality,2009,genderGapIndex,33.599999999999994
