scenario,place,placeCode,domain,dimension,indicator,indicatorCode,date,value,BAU_low,BAU_high,boundary,ratio,ratio_low,ratio_high
bau,World,WLD,ecological,climate change,co2_ppm,clim1,2025,423.5889139909425,422.39273756121173,424.78509042067327,350,2.0512701998706073,2.0341819651601676,2.0683584345810466
bau,World,WLD,ecological,climate change,co2_ppm,clim1,2026,425.83482174636174,424.2506029348018,427.4190405579217,350,2.0833545963765965,2.060722899068597,2.1059862936845954
bau,World,WLD,ecological,climate change,co2_ppm,clim1,2027,428.0807295017809,426.06375464211766,430.0977043614442,350,2.1154389928825847,2.0866250663159667,2.144252919449203
bau,World,WLD,ecological,climate change,co2_ppm,clim1,2028,430.32663725720016,427.83738929408236,432.81588522031797,350,2.147523389388574,2.1119627042011766,2.1830840745759708
bau,World,WLD,ecological,climate change,co2_ppm,clim1,2029,432.5725450126194,429.57497885535986,435.57011116987894,350,2.179607785894563,2.1367854122194267,2.2224301595696994
bau,World,WLD,ecological,climate change,co2_ppm,clim1,2030,434.8184527680386,431.27904135961234,438.35786417646483,350,2.2116921824005513,2.1611291622801763,2.262255202520926
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2000,1.77,NA,NA,1,1.77,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2001,1.79,NA,NA,1,1.79,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2002,1.77,NA,NA,1,1.77,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2003,1.79,NA,NA,1,1.79,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2004,1.82,NA,NA,1,1.82,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2005,1.82,NA,NA,1,1.82,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2006,1.84,NA,NA,1,1.84,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2007,1.91,NA,NA,1,1.91,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2008,1.98,NA,NA,1,1.98,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2009,2.06,NA,NA,1,2.06,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2010,2.12,NA,NA,1,2.12,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2011,2.17,NA,NA,1,2.17,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2012,2.19,NA,NA,1,2.19,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2013,2.3,NA,NA,1,2.3,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2014,2.35,NA,NA,1,2.35,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2015,2.41,NA,NA,1,2.41,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2016,2.54,NA,NA,1,2.54,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2017,2.58,NA,NA,1,2.58,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2018,2.64,NA,NA,1,2.64,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2019,2.64,NA,NA,1,2.64,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2020,2.79,NA,NA,1,2.79,NA,NA
historical,World,WLD,ecological,climate change,erf_wm2,clim2,2021,2.77,NA,NA,1,2.77,NA,NA
bau,World,WLD,ecological,climate change,erf_wm2,clim2,2022,2.84014102287624,2.7869659523086057,2.893316093443875,1,2.84014102287624,2.7869659523086057,2.893316093443875
bau,World,WLD,ecological,climate change,erf_wm2,clim2,2023,2.887979122534339,2.8126949254550886,2.96326331961359,1,2.887979122534339,2.8126949254550886,2.96326331961359
bau,World,WLD,ecological,climate change,erf_wm2,clim2,2024,2.935817222192438,2.8310053417261756,3.0406291026587007,1,2.935817222192438,2.8310053417261756,3.0406291026587007
bau,World,WLD,ecological,climate change,erf_wm2,clim2,2025,2.983655321850537,2.8436427889208407,3.1236678547802335,1,2.983655321850537,2.8436427889208407,3.1236678547802335
bau,World,WLD,ecological,climate change,erf_wm2,clim2,2026,3.031493421508636,2.851571431158914,3.211415411858358,1,3.031493421508636,2.851571431158914,3.211415411858358
bau,World,WLD,ecological,climate change,erf_wm2,clim2,2027,3.0793315211667354,2.8553453534973356,3.303317688836135,1,3.0793315211667354,2.8553453534973356,3.303317688836135
bau,World,WLD,ecological,climate change,erf_wm2,clim2,2028,3.1271696208248345,2.8553130781874607,3.3990261634622083,1,3.1271696208248345,2.8553130781874607,3.3990261634622083
bau,World,WLD,ecological,climate change,erf_wm2,clim2,2029,3.1750077204829337,2.8517118696859725,3.498303571279895,1,3.1750077204829337,2.8517118696859725,3.498303571279895
bau,World,WLD,ecological,climate change,erf_wm2,clim2,2030,3.222845820141033,2.844713042416337,3.6009785978657285,1,3.222845820141033,2.844713042416337,3.6009785978657285
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2000,2.987,NA,NA,2.75,0.6565217391304344,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2001,2.986,NA,NA,2.75,0.6579710144927532,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2002,2.972,NA,NA,2.75,0.678260869565217,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2003,2.977,NA,NA,2.75,0.6710144927536235,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2004,2.963,NA,NA,2.75,0.6913043478260867,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2005,2.951,NA,NA,2.75,0.7086956521739126,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2006,2.936,NA,NA,2.75,0.7304347826086953,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2007,2.917,NA,NA,2.75,0.757971014492754,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2008,2.913,NA,NA,2.75,0.763768115942029,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2009,2.916,NA,NA,2.75,0.7594202898550722,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2010,2.906,NA,NA,2.75,0.7739130434782606,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2011,2.88,NA,NA,2.75,0.811594202898551,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2012,2.878,NA,NA,2.75,0.8144927536231878,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2013,2.88,NA,NA,2.75,0.811594202898551,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2014,2.881,NA,NA,2.75,0.8101449275362322,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2015,2.877,NA,NA,2.75,0.8159420289855072,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2016,2.856,NA,NA,2.75,0.8463768115942027,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2017,2.84,NA,NA,2.75,0.8695652173913041,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2018,2.824,NA,NA,2.75,0.892753623188406,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2019,2.827,NA,NA,2.75,0.8884057971014493,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2020,2.818,NA,NA,2.75,0.9014492753623184,NA,NA
historical,World,WLD,ecological,ocean acidification,omega_a,acid,2021,2.8,NA,NA,2.75,0.9275362318840579,NA,NA
bau,World,WLD,ecological,ocean acidification,omega_a,acid,2022,2.791095238095247,2.7823377241426948,2.799852752047799,2.75,0.9404416839199317,0.9531337331265294,0.9277496347133345
bau,World,WLD,ecological,ocean acidification,omega_a,acid,2023,2.7821904761904936,2.769805481186123,2.7945754711948645,2.75,0.953347135955806,0.9712964040780826,0.9353978678335295
bau,World,WLD,ecological,ocean acidification,omega_a,acid,2024,2.7732857142857408,2.7581172551719275,2.788454173399554,2.75,0.9662525879916798,0.98823586206967,0.9442693139136897
bau,World,WLD,ecological,ocean acidification,omega_a,acid,2025,2.7643809523809875,2.7468659244758835,2.7818959802860914,2.75,0.9791580400275542,1.0045421384407487,0.9537739416143604
bau,World,WLD,ecological,ocean acidification,omega_a,acid,2026,2.7554761904762346,2.7358937939644257,2.7750585869880435,2.75,0.992063492063428,1.0204437768631511,0.9636832072637049
bau,World,WLD,ecological,ocean acidification,omega_a,acid,2027,2.7465714285714817,2.725119987972425,2.7680228691705384,2.75,1.0049689440993017,1.0360579884457606,0.9738798997528425
bau,World,WLD,ecological,ocean acidification,omega_a,acid,2028,2.7376666666667284,2.7144964626450974,2.7608368706883595,2.75,1.0178743961351762,1.0514544019636265,0.9842943903067252
bau,World,WLD,ecological,ocean acidification,omega_a,acid,2029,2.7287619047619756,2.7039919147532343,2.753531894770717,2.75,1.03077984817105,1.0666783844156025,0.9948813119264974
bau,World,WLD,ecological,ocean acidification,omega_a,acid,2030,2.7198571428572222,2.693584600999566,2.7461296847148784,2.75,1.0436853002069244,1.0817614478267155,1.0056091525871327
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2000,1186,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2001,1250.1176470588234,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2002,1314.235294117647,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2003,1378.3529411764707,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2004,1442.4705882352941,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2005,1506.5882352941176,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2006,1570.7058823529412,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2007,1634.8235294117646,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2008,1698.9411764705883,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2009,1763.0588235294117,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2010,1827.1764705882354,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2011,1891.294117647059,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2012,1955.4117647058824,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2013,2019.5294117647059,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2014,2083.6470588235293,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2015,2147.764705882353,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2016,2211.8823529411766,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2017,2276,NA,NA,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2018,2340.1176470588234,NA,NA,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2019,2404.235294117647,NA,NA,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2020,2468.3529411764707,NA,NA,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2021,2532.470588235294,NA,NA,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2022,2596.5882352941176,2596.5882352941176,2596.5882352941176,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2023,2660.705882352941,2660.705882352941,2660.705882352941,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2024,2724.8235294117644,2724.8235294117644,2724.8235294117644,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2025,2788.9411764705883,2788.9411764705883,2788.9411764705883,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2026,2853.0588235294117,2853.0588235294117,2853.0588235294117,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2027,2917.176470588235,2917.176470588235,2917.176470588235,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2028,2981.2941176470586,2981.2941176470586,2981.2941176470586,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2029,3045.411764705882,3045.411764705882,3045.411764705882,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt,ERROR,2030,3109.5294117647054,3109.5294117647054,3109.5294117647054,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2000,908.8317999999999,NA,NA,60,15.147196666666666,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2001,957.9651529411764,NA,NA,60,15.966085882352939,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2002,1007.0985058823529,NA,NA,60,16.784975098039215,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2003,1056.2318588235296,NA,NA,60,17.60386431372549,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2004,1105.365211764706,NA,NA,60,18.422753529411764,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2005,1154.4985647058822,NA,NA,60,19.241642745098037,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2006,1203.6319176470588,NA,NA,60,20.060531960784314,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2007,1252.7652705882351,NA,NA,60,20.879421176470586,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2008,1301.8986235294117,NA,NA,60,21.698310392156863,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2009,1351.0319764705882,NA,NA,60,22.517199607843136,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2010,1400.1653294117648,NA,NA,60,23.336088823529412,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2011,1449.2986823529413,NA,NA,60,24.15497803921569,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2012,1498.4320352941177,NA,NA,60,24.97386725490196,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2013,1547.565388235294,NA,NA,60,25.792756470588234,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2014,1596.6987411764705,NA,NA,60,26.61164568627451,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2015,1645.832094117647,NA,NA,60,27.430534901960787,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2016,1694.9654470588237,NA,NA,60,28.24942411764706,NA,NA
historical,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2017,1744.0988,NA,NA,60,29.068313333333332,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2018,1793.2321529411763,NA,NA,60,29.887202549019605,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2019,1842.3655058823526,NA,NA,60,30.706091764705878,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2020,1891.4988588235294,NA,NA,60,31.524980980392158,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2021,1940.6322117647057,NA,NA,60,32.34387019607843,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2022,1989.7655647058823,NA,NA,60,33.162759411764704,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2023,2038.8989176470586,NA,NA,60,33.98164862745098,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2024,2088.032270588235,NA,NA,60,34.80053784313725,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2025,2137.1656235294117,NA,NA,60,35.619427058823526,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2026,2186.298976470588,NA,NA,60,36.4383162745098,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2027,2235.4323294117644,NA,NA,60,37.25720549019607,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2028,2284.5656823529407,NA,NA,60,38.07609470588235,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2029,2333.6990352941175,NA,NA,60,38.894983921568624,NA,NA
bau,World,WLD,ecological,chemical pollution,chemicalsMt_Hzd,chem,2030,2382.832388235294,NA,NA,60,39.7138731372549,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2000,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2001,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2002,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2003,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2004,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2005,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2006,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2007,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2008,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2009,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2010,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2011,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2012,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2013,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2014,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2015,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2016,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2017,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2018,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2019,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2020,76.63,NA,NA,NA,NA,NA,NA
historical,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2021,76.63,NA,NA,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2022,76.63,76.63,76.63,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2023,76.63,76.63,76.63,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2024,76.63,76.63,76.63,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2025,76.63,76.63,76.63,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2026,76.63,76.63,76.63,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2027,76.63,76.63,76.63,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2028,76.63,76.63,76.63,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2029,76.63,76.63,76.63,NA,NA,NA,NA
bau,World,WLD,ecological,chemical pollution,EUshare_hzdHealth,ERROR,2030,76.63,76.63,76.63,NA,NA,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2000,132.2432713,NA,NA,62,2.1329559887096776,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2001,134.93367778,NA,NA,62,2.1763496416129033,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2002,137.62408426000002,NA,NA,62,2.2197432945161295,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2003,140.31449074,NA,NA,62,2.263136947419355,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2004,143.00489722,NA,NA,62,2.3065306003225805,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2005,145.6953037,NA,NA,62,2.3499242532258067,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2006,148.6046776,NA,NA,62,2.3968496387096776,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2007,151.5140515,NA,NA,62,2.443775024193548,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2008,154.4234254,NA,NA,62,2.4907004096774195,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2009,157.3327993,NA,NA,62,2.5376257951612904,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2010,160.2421732,NA,NA,62,2.5845511806451613,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2011,163.24602382,NA,NA,62,2.6330003841935485,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2012,166.24987444,NA,NA,62,2.6814495877419358,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2013,169.25372506,NA,NA,62,2.7298987912903225,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2014,172.25757568,NA,NA,62,2.7783479948387098,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2015,175.2614263,NA,NA,62,2.826797198387097,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2016,178.13090856,NA,NA,62,2.8730791703225806,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2017,181.00039082,NA,NA,62,2.9193611422580648,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2018,183.86987308,NA,NA,62,2.9656431141935484,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2019,186.73935534,NA,NA,62,3.011925086129032,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2020,189.6088376,NA,NA,62,3.0582070580645158,NA,NA
historical,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2021,191.97349848,NA,NA,62,3.0963467496774193,NA,NA
bau,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2022,194.3548248687162,194.21673248092267,194.49291725650974,62,3.1347552398180034,3.1325279432406883,3.1369825363953185
bau,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2023,196.73610077257615,196.43061694526546,197.04158459988685,62,3.1731629156867123,3.168235757181701,3.1780900741917235
bau,World,WLD,ecological,nutrient pollution,nitrogenMt,fertN,2024,199.1173766764361,198.60768953295002,199.62706381992217,62,3.2115705915554207,3.203349831176613,3.2197913519342287
