domain,dimension,indicator,term,coefficient,SE,p-value_coefficient,adj-R2,p-value_regression
social,income and work,societalPoverty,(Intercept),0.852,0.0028246828731214035,4.6714829758863e-38,0.971,4.293585419571471e-17
social,income and work,societalPoverty,t,-0.006,2.30250958474533e-4,4.293585419571563e-17,0.971,4.293585419571471e-17
social,income and work,youthNEET,(Intercept),0.229,0.006132387928772769,3.232294720230679e-16,-0.066,0.9608036370571986
social,income and work,youthNEET,t,-0,4.4141894208318025e-4,0.9608036370572018,-0.066,0.9608036370571986
social,water,drinkingH2O,(Intercept),0.396,0.004059547354479354,4.0802479221019716e-27,0.944,1.3394510334887209e-13
social,water,drinkingH2O,t,-0.006,3.472532433948549e-4,1.3394510334887257e-13,0.944,1.3394510334887209e-13
social,water,sanitation,(Intercept),0.729,0.002754132544858922,2.3618640301460602e-35,0.994,1.14874928058375e-22
social,water,sanitation,t,-0.013,2.3558820120334436e-4,1.1487492805837255e-22,0.994,1.14874928058375e-22
social,energy,energyAccess,(Intercept),0.222,0.0015065385849170275,7.587257703531132e-32,0.992,8.532553538233009e-23
social,energy,energyAccess,t,-0.006,1.2280385754337504e-4,8.532553538233009e-23,0.992,8.532553538233009e-23
social,energy,energyIndoor,(Intercept),0.526,0.003531040449048211,6.289287694233742e-32,0.985,4.8778937839448395e-20
social,energy,energyIndoor,t,-0.011,2.878289295914007e-4,4.877893783944944e-20,0.985,4.8778937839448395e-20
social,connectivity,internet,(Intercept),0.975,0.008024148389627547,3.62479826434783e-30,0.987,1.197976735475592e-20
social,connectivity,internet,t,-0.026,6.540797465210585e-4,1.1979767354756175e-20,0.987,1.197976735475592e-20
social,connectivity,publicTrans,(Intercept),0.484,NA,NA,0,NA
social,connectivity,publicTrans,t,NA,NA,NA,0,NA
social,housing,urbanSlums,(Intercept),0.314,0.0013990044597508662,5.260951146468135e-34,0.983,2.1974646904946145e-18
social,housing,urbanSlums,t,-0.004,1.1967069078189409e-4,2.197464690494599e-18,0.983,2.1974646904946145e-18
social,equality,genderGapIndex,(Intercept),0.358,0.003762673009063974,2.8108183987522074e-22,0.818,3.8532931199442543e-7
social,equality,genderGapIndex,t,-0.002,2.7084312968412335e-4,3.8532931199442675e-7,0.818,3.8532931199442543e-7
social,social cohesion,lifeSatisfaction,(Intercept),0.472,0.044670447056075785,2.3769469346010692e-8,0.1,0.11608969779328837
social,social cohesion,lifeSatisfaction,t,-0.005,0.0032154491383948997,0.11608969779328879,0.1,0.11608969779328837
social,social cohesion,PalmaOver2_share,(Intercept),0.694,0.007425528047807405,8.892415067516291e-27,0.283,0.007676784520879076
social,social cohesion,PalmaOver2_share,t,-0.002,6.351788693080265e-4,0.007676784520878985,0.283,0.007676784520879076
social,political voice,voiceAccount,(Intercept),0.506,0.005469452885516289,8.461227995598641e-28,0.008,0.29120580512088723
social,political voice,voiceAccount,t,-0,4.4583651538545634e-4,0.29120580512089345,0.008,0.29120580512088723
social,peace and justice,controlCorruption,(Intercept),0.824,0.0022227288504107407,7.545229007174957e-40,0.787,2.323972305769561e-8
social,peace and justice,controlCorruption,t,0.002,1.811833296778281e-4,2.3239723057694815e-8,0.787,2.323972305769561e-8
social,peace and justice,homicideOver5,(Intercept),0.3,0.010514482685905914,1.1037329639148122e-17,0.739,1.7980574747920868e-7
social,peace and justice,homicideOver5,t,-0.007,8.570766436582088e-4,1.7980574747920836e-7,0.739,1.7980574747920868e-7
