domain,dimension,indicator,date,value,BAU_low,BAU_high
ecological,climate change,erf_wm2,2028,3.1271696208248345,2.8553130781874607,3.3990261634622083
ecological,climate change,erf_wm2,2029,3.1750077204829337,2.8517118696859725,3.498303571279895
ecological,climate change,erf_wm2,2030,3.222845820141033,2.844713042416337,3.6009785978657285
ecological,freshwater disruption,blueDev,2006,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2007,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2008,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2009,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2010,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2011,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2012,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2013,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2014,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2015,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2016,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2017,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2018,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2019,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2020,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2021,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2022,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2023,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2024,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2025,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2026,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2027,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2028,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2029,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,blueDev,2030,18.2,17.3956024151357,18.84439758486431
ecological,freshwater disruption,soilDev,2015,19.253,18.446412266263064,20.059587733736937
ecological,freshwater disruption,soilDev,2016,19.253,18.112312687705444,20.393687312294556
ecological,freshwater disruption,soilDev,2017,19.253,17.855949064405788,20.650050935594216
ecological,freshwater disruption,soilDev,2018,19.253,17.639824532526124,20.866175467473877
ecological,freshwater disruption,soilDev,2019,19.253,17.449414997546707,21.056585002453293
ecological,freshwater disruption,soilDev,2020,19.253,17.277271619556643,21.228728380443357
ecological,freshwater disruption,soilDev,2021,19.253,17.11896944597688,21.38703055402312
ecological,freshwater disruption,soilDev,2022,19.253,16.971625375410888,21.534374624589113
ecological,freshwater disruption,soilDev,2023,19.253,16.833236798789187,21.672763201210813
ecological,freshwater disruption,soilDev,2024,19.253,16.702345628637843,21.80365437136216
ecological,freshwater disruption,soilDev,2025,19.253,16.577851126691492,21.92814887330851
ecological,freshwater disruption,soilDev,2026,19.253,16.458898128811573,22.047101871188428
ecological,freshwater disruption,soilDev,2027,19.253,16.344806567851176,22.161193432148824
ecological,freshwater disruption,soilDev,2028,19.253,16.235025047981935,22.270974952018065
ecological,freshwater disruption,soilDev,2029,19.253,16.12909913998166,22.376900860018342
ecological,freshwater disruption,soilDev,2030,19.253,16.02664906505225,22.47935093494775
ecological,land conversion,forestAreaMKM2,2021,38.223015920831415,38.21832456888862,38.22770727277421
ecological,land conversion,forestAreaMKM2,2022,38.17603153974406,38.16940104271738,38.182662036770736
ecological,land conversion,forestAreaMKM2,2023,38.12904715865671,38.1209312116687,38.137163105644724
ecological,land conversion,forestAreaMKM2,2024,38.08206277756936,38.07269666023902,38.09142889489971
ecological,land conversion,forestAreaMKM2,2025,38.03507839648201,38.02461272777397,38.04554406519004
ecological,land conversion,forestAreaMKM2,2026,37.98809401539466,37.97663596778577,37.99955206300355
ecological,land conversion,forestAreaMKM2,2027,37.9411096343073,37.92874055552049,37.953478713094114
ecological,land conversion,forestAreaMKM2,2028,37.894125253219954,37.880909654735326,37.90734085170458
ecological,land conversion,forestAreaMKM2,2029,37.847140872132606,37.83313156412979,37.86115018013542
ecological,land conversion,forestAreaMKM2,2030,37.80015649104525,37.78539775910902,37.81491522298148
ecological,nutrient pollution,nitrogenMt,2022,194.3548248687162,194.21673248092267,194.49291725650974
ecological,nutrient pollution,nitrogenMt,2023,196.73610077257615,196.43061694526546,197.04158459988685
ecological,nutrient pollution,nitrogenMt,2024,199.1173766764361,198.60768953295002,199.62706381992217
ecological,nutrient pollution,nitrogenMt,2025,201.49865258029604,200.7527490155816,202.24455614501048
ecological,nutrient pollution,nitrogenMt,2026,203.879928484156,202.86902713716142,204.8908298311506
ecological,nutrient pollution,nitrogenMt,2027,206.26120438801595,204.95883162997737,207.56357714605454
ecological,nutrient pollution,nitrogenMt,2028,208.6424802918759,207.02389870751082,210.26106187624097
ecological,nutrient pollution,nitrogenMt,2029,211.02375619573584,209.0655860328256,212.9819263586461
ecological,nutrient pollution,nitrogenMt,2030,213.4050320995958,211.08498641328111,215.72507778591046
ecological,nutrient pollution,phosphorusMt,2022,23.195547256409697,23.089432357589462,23.30166215522993
ecological,nutrient pollution,phosphorusMt,2023,23.316336620234996,23.089230837389234,23.543442403080757
ecological,nutrient pollution,phosphorusMt,2024,23.432117846641905,23.06228025248602,23.80195544079779
ecological,nutrient pollution,phosphorusMt,2025,23.543098581731105,23.013145866047093,24.073051297415116
ecological,nutrient pollution,phosphorusMt,2026,23.649477862234253,22.945140921063057,24.35381480340545
ecological,nutrient pollution,phosphorusMt,2027,23.751446472473425,22.860782399084055,24.642110545862796
ecological,nutrient pollution,phosphorusMt,2028,23.84918728652039,22.762069049440193,24.936305523600588
ecological,nutrient pollution,phosphorusMt,2029,23.94287559616937,22.650640485433154,25.235110706905584
ecological,nutrient pollution,phosphorusMt,2030,24.03267942531146,22.527874095489864,25.537484755133057
ecological,ocean acidification,omega_a,2022,2.791095238095247,2.7823377241426948,2.799852752047799
ecological,ocean acidification,omega_a,2023,2.7821904761904936,2.769805481186123,2.7945754711948645
ecological,ocean acidification,omega_a,2024,2.7732857142857408,2.7581172551719275,2.788454173399554
ecological,ocean acidification,omega_a,2025,2.7643809523809875,2.7468659244758835,2.7818959802860914
ecological,ocean acidification,omega_a,2026,2.7554761904762346,2.7358937939644257,2.7750585869880435
ecological,ocean acidification,omega_a,2027,2.7465714285714817,2.725119987972425,2.7680228691705384
ecological,ocean acidification,omega_a,2028,2.7376666666667284,2.7144964626450974,2.7608368706883595
ecological,ocean acidification,omega_a,2029,2.7287619047619756,2.7039919147532343,2.753531894770717
ecological,ocean acidification,omega_a,2030,2.7198571428572222,2.693584600999566,2.7461296847148784
ecological,ocean acidification,omega_a,2031,2.7109523809524694,2.6832586902217015,2.7386460716832373
ecological,ozone depletion,totalOzone,2022,283.2501520832216,280.61684516569244,285.8834590007508
ecological,ozone depletion,totalOzone,2023,283.2501520832216,280.61684515252097,285.8834590139223
ecological,ozone depletion,totalOzone,2024,283.2501520832216,280.61684513934694,285.8834590270963
ecological,ozone depletion,totalOzone,2025,283.2501520832216,280.6168451261754,285.88345904026784
ecological,ozone depletion,totalOzone,2026,283.2501520832216,280.6168451129989,285.88345905344437
ecological,ozone depletion,totalOzone,2027,283.2501520832216,280.61684509982734,285.8834590666159
ecological,ozone depletion,totalOzone,2028,283.2501520832216,280.61684508665337,285.8834590797899
ecological,ozone depletion,totalOzone,2029,283.2501520832216,280.61684507348184,285.8834590929614
ecological,ozone depletion,totalOzone,2030,283.2501520832216,280.6168450603078,285.88345910613543
social,food,undernourishment,2022,10.518829391679565,10.067826415558898,10.969832367800233
social,food,undernourishment,2023,11.217353903821472,10.404962551089577,12.029745256553367
social,food,undernourishment,2024,11.91587841596338,10.675816365056388,13.155940466870373
social,food,undernourishment,2025,12.614402928105287,10.890115051186674,14.3386908050239
social,food,undernourishment,2026,13.312927440247194,11.054019176315128,15.57183570417926
social,food,undernourishment,2027,14.011451952389102,11.171964334012081,16.850939570766123
social,food,undernourishment,2028,14.709976464531008,11.2473645442667,18.17258838479532
social,food,undernourishment,2029,15.408500976672915,11.282960632805061,19.534041320540773
social,food,undernourishment,2030,16.10702548881482,11.281019081008115,20.93303189662153
social,food,foodInsecurity,2022,29.300019961759972,27.17681007083099,31.423229852688955
social,food,foodInsecurity,2023,29.300019961759972,26.29317202485129,32.306867898668656
social,food,foodInsecurity,2024,29.300019961759972,25.61214940897063,32.987890514549314
social,food,foodInsecurity,2025,29.300019961759972,25.03552291330535,33.564517010214594
social,food,foodInsecurity,2026,29.300019961759972,24.525302827582614,34.07473709593733
social,food,foodInsecurity,2027,29.300019961759972,24.06203298172155,34.53800694179839
social,food,foodInsecurity,2028,29.300019961759972,23.634171383298646,34.9658685402213
social,food,foodInsecurity,2029,29.300019961759972,23.23420793931645,35.365831984203496
social,food,foodInsecurity,2030,29.300019961759972,22.856933056212,35.743106867307944
social,health,under5death,2022,42.20006003934107,39.18983003510458,45.21029004357756
social,health,under5death,2023,42.20006003934107,37.93722184962792,46.46289822905422
social,health,under5death,2024,42.20006003934107,36.97196281943751,47.42815725924463
social,health,under5death,2025,42.20006003934107,36.154780686072634,48.24533939260951
social,health,under5death,2026,42.20006003934107,35.43180463418687,48.96831544449527
social,health,under5death,2027,42.20006003934107,34.77544392179029,49.62467615689185
social,health,under5death,2028,42.20006003934107,34.16933021582497,50.23078986285717
social,health,under5death,2029,42.20006003934107,33.602812624611516,50.79730745407062
social,health,under5death,2030,42.20006003934107,33.06850256986758,51.33161750881455
social,health,noUniversalHealth,2022,58.00267748866988,57.82025057131686,58.1851044060229
social,health,noUniversalHealth,2023,58.00538494701477,57.59926128433215,58.411508609697385
social,health,noUniversalHealth,2024,58.00809240535966,57.32900159114325,58.68718321957607
social,health,noUniversalHealth,2025,58.01079986370455,57.01692275140423,59.004676976004866
social,health,noUniversalHealth,2026,58.01350732204944,56.667904486482,59.35911015761688
social,health,noUniversalHealth,2027,58.01621478039433,56.285446573890745,59.74698298689792
social,health,noUniversalHealth,2028,58.01892223873922,55.872214313678995,60.16563016379945
social,health,noUniversalHealth,2029,58.02162969708411,55.430324156589556,60.61293523757866
social,health,noUniversalHealth,2030,58.024337155429,54.961509136884665,61.08716517397334
social,education,adultLiteracy,2021,12.637352859419615,12.484129428364717,12.790576290474512
social,education,adultLiteracy,2022,12.333225889052049,12.180002454932657,12.48644932317144
social,education,adultLiteracy,2023,12.02909891868448,11.875875477669988,12.182322359698974
social,education,adultLiteracy,2024,11.724971948316915,11.571748495044476,11.878195401589354
social,education,adultLiteracy,2025,11.420844977949349,11.267621505523882,11.574068450374815
social,education,adultLiteracy,2026,11.116718007581783,10.963494507575971,11.269941507587594
social,education,adultLiteracy,2027,10.812591037214215,10.659367499668509,10.965814574759921
social,education,adultLiteracy,2028,10.50846406684665,10.355240480269266,10.661687653424032
social,education,adultLiteracy,2029,10.204337096479083,10.051113447846017,10.35756074511215
social,education,adultLiteracy,2030,9.900210126111517,9.746986400866541,10.053433851356493
social,education,secondarySchool,2022,41.18830984785266,40.72425126575017,41.652368429955146
social,education,secondarySchool,2023,40.592206183305514,39.87201023396626,41.31240213264477
social,education,secondarySchool,2024,39.99610251875838,38.96506680174057,41.027138235776185
social,education,secondarySchool,2025,39.39999885421124,38.01494265656243,40.78505505186005
social,education,secondarySchool,2026,38.8038951896641,37.02774957678812,40.580040802540076
social,education,secondarySchool,2027,38.20779152511696,36.00734945082752,40.4082335994064
social,education,secondarySchool,2028,37.61168786056982,34.95648355709403,40.26689216404562
social,education,secondarySchool,2029,37.01558419602269,33.87724706931447,40.1539213227309
social,education,secondarySchool,2030,36.41948053147554,32.771320944040156,40.06764011891093
social,income and work,societalPoverty,2022,73.52380952380955,72.94951492543404,74.09810412218505
social,income and work,societalPoverty,2023,73.0476190476191,72.23544383779885,73.85979425743933
social,income and work,societalPoverty,2024,72.57142857142865,71.57672114852993,73.56613599432738
social,income and work,societalPoverty,2025,72.0952380952382,70.9466488984872,73.2438272919892
social,income and work,societalPoverty,2026,71.61904761904775,70.3348858579692,72.9032093801263
social,income and work,societalPoverty,2027,71.1428571428573,69.73612841480073,72.54958587091386
social,income and work,societalPoverty,2028,70.66666666666686,69.14722598007756,72.18610735325615
social,income and work,societalPoverty,2029,70.1904761904764,68.56612577083592,71.81482661011688
social,income and work,societalPoverty,2030,69.71428571428595,67.99140191915946,71.43716950941244
social,income and work,societalPoverty,2031,69.2380952380955,67.42201625929728,71.05417421689371
social,income and work,societalPoverty,2032,68.76190476190504,66.85718505996567,70.66662446384443
social,income and work,youthNEET,2022,23.873255705623432,23.22754585363533,24.518965557611534
social,income and work,youthNEET,2023,23.873255705623432,23.022419320302685,24.72409209094418
social,income and work,youthNEET,2024,23.873255705623432,22.857831968392755,24.88867944285411
social,income and work,youthNEET,2025,23.873255705623432,22.716350456751755,25.03016095449511
social,income and work,youthNEET,2026,23.873255705623432,22.590307605297586,25.15620380594928
social,income and work,youthNEET,2027,23.873255705623432,22.475520504191596,25.270990907055268
social,income and work,youthNEET,2028,23.873255705623432,22.3694094841274,25.377101927119465
social,income and work,youthNEET,2029,23.873255705623432,22.270250643430334,25.47626076781653
social,income and work,youthNEET,2030,23.873255705623432,22.17682441746568,25.569686993781183
social,water,drinkingH2O,2021,25.40000000000203,24.920338557424994,25.879661442579067
social,water,drinkingH2O,2022,24.80000000000407,24.121656282564178,25.47834371744396
social,water,drinkingH2O,2023,24.200000000006106,23.369202011030897,25.030797988981316
social,water,drinkingH2O,2024,23.60000000000814,22.640677114854064,24.559322885162217
social,water,drinkingH2O,2025,23.000000000010175,21.927444408222307,24.072555591798043
social,water,drinkingH2O,2026,22.400000000012213,21.225074216411176,23.57492578361325
social,water,drinkingH2O,2027,21.80000000001425,20.53093510944892,23.069064890579583
social,water,drinkingH2O,2028,21.200000000016285,19.843312565136504,22.556687434896066
social,water,drinkingH2O,2029,20.600000000018323,19.16101567228721,22.038984327749436
social,water,drinkingH2O,2030,20.000000000020357,18.483177335714853,21.51682266432586
social,water,sanitation,2021,44.54509010685634,44.055320866033114,45.03485934767957
social,water,sanitation,2022,43.42964951931042,42.77061371413527,44.088685324485574
social,water,sanitation,2023,42.31420893176451,41.38047971085,43.247938152679026
social,water,sanitation,2024,41.19876834421859,39.91437463531865,42.483162053118534
social,water,sanitation,2025,40.08332775667268,38.39069486361402,41.77596064973134
social,water,sanitation,2026,38.96788716912676,36.81961016526026,41.116164172993265
social,water,sanitation,2027,37.85244658158085,35.207232371495174,40.497660791666526
social,water,sanitation,2028,36.73700599403493,33.557630961091874,39.91638102697799
social,water,sanitation,2029,35.62156540648902,31.873749598892026,39.36938121408601
social,water,sanitation,2030,34.5061248189431,30.157851771663196,38.85439786622301
social,energy,energyAccess,2022,7.980952380952385,7.704996090746244,8.256908671158525
social,energy,energyAccess,2023,7.361904761904775,6.971643633673085,7.752165890136465
social,energy,energyAccess,2024,6.742857142857167,6.264886827551909,7.220827458162424
social,energy,energyAccess,2025,6.123809523809555,5.571896943397274,6.675722104221837
social,energy,energyAccess,2026,5.504761904761949,4.887704881042359,6.121818928481539
social,energy,energyAccess,2027,4.885714285714339,4.2097621833979,5.561666388030779
social,energy,energyAccess,2028,4.26666666666673,3.5365549500573126,4.996778383276147
social,energy,energyAccess,2029,3.64761904761912,2.8670967911557406,4.4281413040825
social,energy,energyAccess,2030,3.02857142857151,2.2007025579530888,3.856440299189932
social,energy,energyIndoor,2022,27.952380952381734,27.47744574135797,28.4273161634055
social,energy,energyIndoor,2023,26.90476190476347,26.23310208808513,27.576421721441807
social,energy,energyIndoor,2024,25.857142857145202,25.034530941348592,26.679754772941813
social,energy,energyIndoor,2025,24.809523809526937,23.8596533874794,25.759394231574472
social,energy,energyIndoor,2026,23.76190476190867,22.69991734515132,24.82389217866602
social,energy,energyIndoor,2027,22.714285714290405,21.550936786401124,23.877634642179686
social,energy,energyIndoor,2028,21.66666666667214,20.41010620943527,22.923227123909008
social,energy,energyIndoor,2029,20.619047619053873,19.275727985697195,21.96236725241055
social,energy,energyIndoor,2030,19.57142857143561,18.14662293836431,20.996234204506912
social,connectivity,internet,2022,33.45483532068752,32.58012837777057,34.32954226360447
social,connectivity,internet,2023,29.50967064137504,27.95374130451747,31.065599978232605
social,connectivity,internet,2024,25.564505962062555,23.26080877987802,27.86820314424709
social,connectivity,internet,2025,21.61934128275007,18.494755683825918,24.743926881674227
social,connectivity,internet,2026,17.674176603437587,13.658137686049457,21.69021552082572
social,connectivity,internet,2027,13.729011924125103,8.75475518754579,18.703268660704417
social,connectivity,internet,2028,9.78384724481262,3.7882964975856037,15.779397992039637
social,connectivity,internet,2029,5.838682565500136,-1.2379249367405762,12.915290067740852
social,connectivity,internet,2030,1.8935178861876523,-6.32098600189191,10.108021774267218
social,housing,urbanSlums,2021,24.099860116737936,24.005326404036833,24.19439382943904
social,housing,urbanSlums,2022,23.99970073350556,23.792673454987693,24.206728012023426
social,housing,urbanSlums,2023,23.89954135027318,23.554304397925915,24.244778302620443
social,housing,urbanSlums,2024,23.799381967040798,23.29452234752879,24.304241586552806
social,housing,urbanSlums,2025,23.69922258380842,23.01591725277106,24.38252791484578
social,housing,urbanSlums,2026,23.59906320057604,22.72030316039041,24.47782324076167
social,housing,urbanSlums,2027,23.49890381734366,22.409048703691877,24.588758930995443
social,housing,urbanSlums,2028,23.398744434111283,22.083235828312002,24.714253039910563
social,housing,urbanSlums,2029,23.298585050878902,21.74374833511279,24.853421766645013
social,housing,urbanSlums,2030,23.19842566764652,21.391326067189954,25.00552526810309
social,equality,genderGapIndex,2022,31.624887347287853,31.24397346889435,32.00580122568136
social,equality,genderGapIndex,2023,31.549774694575703,30.945282784572385,32.15426660457902
social,equality,genderGapIndex,2024,31.474662041863553,30.652112117410805,32.297211966316304
social,equality,genderGapIndex,2025,31.399549389151403,30.353474712886243,32.44562406541657
social,equality,genderGapIndex,2026,31.324436736439253,30.04611551770166,32.60275795517685
social,equality,genderGapIndex,2027,31.249324083727103,29.728886572097995,32.769761595356215
social,equality,genderGapIndex,2028,31.174211431014953,29.401419674348958,32.94700318768095
social,equality,genderGapIndex,2029,31.099098778302803,29.063680046401693,33.134517510203914
social,equality,genderGapIndex,2030,31.023986125590653,28.715785581773204,33.3321866694081
social,social cohesion,lifeSatisfaction,2022,40.49990986799845,34.25104734984899,46.748772386147905
social,social cohesion,lifeSatisfaction,2023,40.49990986799845,31.6055523281349,49.394267407861996
social,social cohesion,lifeSatisfaction,2024,40.49990986799845,29.535501882969932,51.46431785302697
social,social cohesion,lifeSatisfaction,2025,40.49990986799845,27.75622112752705,53.24359860846985
social,social cohesion,lifeSatisfaction,2026,40.49990986799845,26.15809082993108,54.84172890606582
social,social cohesion,lifeSatisfaction,2027,40.49990986799845,24.685183018168626,56.31463671782827
social,social cohesion,lifeSatisfaction,2028,40.49990986799845,23.30442721858253,57.695392517414376
social,social cohesion,lifeSatisfaction,2029,40.49990986799845,21.994363505124504,59.0054562308724
social,social cohesion,lifeSatisfaction,2030,40.49990986799845,20.740137471611966,60.259682264384935
social,social cohesion,PalmaOver2_share,2021,66.8824770409143,64.9470859717667,68.8178681100619
social,social cohesion,PalmaOver2_share,2022,66.8824770409143,64.87839910449394,68.88655497733465
social,social cohesion,PalmaOver2_share,2023,66.8824770409143,64.81198962004996,68.95296446177863
social,social cohesion,PalmaOver2_share,2024,66.8824770409143,64.74764497616822,69.01730910566039
social,social cohesion,PalmaOver2_share,2025,66.8824770409143,64.68518376750298,69.07977031432561
social,social cohesion,PalmaOver2_share,2026,66.8824770409143,64.62444969075017,69.14050439107842
social,social cohesion,PalmaOver2_share,2027,66.8824770409143,64.5653069352035,69.1996471466251
social,social cohesion,PalmaOver2_share,2028,66.8824770409143,64.50763660764086,69.25731747418773
social,social cohesion,PalmaOver2_share,2029,66.8824770409143,64.45133392126442,69.31362016056418
social,social cohesion,PalmaOver2_share,2030,66.8824770409143,64.39630595811819,69.3686481237104
social,political voice,voiceAccount,2022,50.89996999154906,50.049331664838704,51.75060831825941
social,political voice,voiceAccount,2023,50.89996999154906,49.69695364849205,52.102986334606065
social,political voice,voiceAccount,2024,50.89996999154906,49.42649347955478,52.373446503543335
social,political voice,voiceAccount,2025,50.89996999154906,49.198429583521424,52.60151039957669
social,political voice,voiceAccount,2026,50.89996999154906,48.99745361158981,52.8024863715083
social,political voice,voiceAccount,2027,50.89996999154906,48.815714837518925,52.98422514557919
social,political voice,voiceAccount,2028,50.89996999154906,48.64854983050604,53.15139015259207
social,political voice,voiceAccount,2029,50.89996999154906,48.49292029793681,53.3070196851613
social,political voice,voiceAccount,2030,50.89996999154906,48.34671597496888,53.45322400812923
social,peace and justice,controlCorruption,2022,84.7,84.18799172941355,85.21200827058645
social,peace and justice,controlCorruption,2023,84.7,83.97591095968946,85.42408904031055
social,peace and justice,controlCorruption,2024,84.7,83.81317566144881,85.5868243385512
social,peace and justice,controlCorruption,2025,84.7,83.67598345882712,85.72401654117289
social,peace and justice,controlCorruption,2026,84.7,83.55511470192661,85.8448852980734
social,peace and justice,controlCorruption,2027,84.7,83.44584099297835,85.95415900702166
social,peace and justice,controlCorruption,2028,84.7,83.34535344682,86.05464655318
social,peace and justice,controlCorruption,2029,84.7,83.25182191937891,86.1481780806211
social,peace and justice,controlCorruption,2030,84.7,83.16397518824067,86.23602481175934
social,peace and justice,homicideOver5,2022,18.4843986576124,15.64176042304732,21.327036892177478
social,peace and justice,homicideOver5,2023,18.4843986576124,14.883514074228048,22.085283240996752
social,peace and justice,homicideOver5,2024,18.4843986576124,14.259218491856277,22.70957882336852
social,peace and justice,homicideOver5,2025,18.4843986576124,13.715968613736036,23.252828701488763
social,peace and justice,homicideOver5,2026,18.4843986576124,13.228573057995671,23.74022425722913
social,peace and justice,homicideOver5,2027,18.4843986576124,12.782690108078288,24.186107207146513
social,peace and justice,homicideOver5,2028,18.4843986576124,12.369232426505171,24.59956488871963
social,peace and justice,homicideOver5,2029,18.4843986576124,11.98201173554155,24.98678557968325
social,peace and justice,homicideOver5,2030,18.4843986576124,11.616588720335319,25.352208594889483
