domain,dimension,type,group,grpCode,indicator,indCode,slope,SE_slope,p-value_slope,intercept,SE_intercept,p-value_intercept,adj-R2,p-value_regression
social,income and work,global doughnut,World,Wld,youthNEET,IW2,-0.001,3.593122235839018e-4,0.00203928765183456,0.243,0.00519658732392541,1.5465191004452454e-18,0.424,0.0020392876518346
social,water,global doughnut,World,Wld,drinkingH2O,WA1,-0.001,4.4387755086139794e-5,1.5362454585756133e-19,0.396,5.701710377262917e-4,2.742819502877044e-47,0.98,1.5362454585756569e-19
social,water,global doughnut,World,Wld,sanitation,WA2,-0.012,1.951284400488168e-4,1.6412552146547406e-25,0.681,0.00250647019513916,1.0164996308829883e-38,0.995,1.6412552146547406e-25
social,energy,global doughnut,World,Wld,energyAccess,EN1,-0.006,1.0792210200986337e-4,6.176296863563524e-25,0.222,0.00138628450069511,6.443019789455787e-34,0.994,6.176296863563524e-25
social,energy,global doughnut,World,Wld,energyIndoor,EN2,-0.012,3.559094789563946e-4,1.8086226284278506e-19,0.528,0.00457174003414641,6.3050471170293595e-31,0.98,1.8086226284278248e-19
social,connectivity,global doughnut,World,Wld,publicTrans,CO1,NA,NA,NA,0.527,NA,NA,0,NA
social,connectivity,global doughnut,World,Wld,internet,CO2,-0.026,6.766554053376602e-4,5.8538227106115664e-21,0.967,0.00869179605717317,1.3689063340496865e-30,0.985,5.853822710611525e-21
social,housing,global doughnut,World,Wld,urbanSlums,HO1,-0.004,1.1128022708038486e-4,3.3965235169322015e-20,0.399,0.00142942039825421,5.5923101646905686e-39,0.983,3.3965235169322984e-20
social,equality,global doughnut,World,Wld,genderGapIndex,EQ1,-0.005,7.947862425670842e-5,6.867310978695479e-26,0.461,0.00102092141360975,2.3516219085782713e-43,0.995,6.867310978695479e-26
social,social cohesion,global doughnut,World,Wld,socialSupport,SC1,0.001,5.433360583937309e-4,0.180416255772694,0.222,0.00785804959686031,4.404431280990644e-15,0.054,0.18041625577269496
social,social cohesion,global doughnut,World,Wld,palma,SC2,-0.002,5.020083371146618e-4,2.600399663833512e-4,0.708,0.00644841384666676,1.838466275771105e-30,0.453,2.600399663833478e-4
social,political voice,global doughnut,World,Wld,govRegimes,PV1,0.01,0.00183043254681532,1.3664578827066373e-5,0.425,0.02351233178340116,2.7716154397315095e-14,0.583,1.3664578827066274e-5
social,peace and justice,global doughnut,World,Wld,controlCorruption,PJ1,-0.005,5.358663942821311e-4,2.556510291762697e-7,0.845,0.00775001886679177,2.1060746809547338e-24,0.807,2.556510291762729e-7
social,peace and justice,global doughnut,World,Wld,homicideOver5,PJ2,-0.005,7.576810137151152e-4,6.812418423577236e-7,0.298,0.00973258884160941,6.692342523007385e-19,0.684,6.812418423577236e-7
